                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4656,                 1.7274,                 1.6876,                 0.5417,                0.45211,                0.43002,                0.21657,                 1.7131,                 1.9641,                 2.0607,               0.006733,               0.006733,               0.006733
                     35,                 1.4989,                 1.7771,                 1.7549,                0.48968,                0.50958,                0.44524,                0.24073,                  1.649,                 1.8728,                 2.0173,               0.006634,               0.006634,               0.006634
                     36,                 1.4468,                 1.8027,                 1.6514,                0.49574,                0.51724,                0.43834,                0.23424,                 1.6389,                 1.8811,                 2.0207,               0.006535,               0.006535,               0.006535
                     37,                 1.5354,                  1.825,                 1.7606,                0.53424,                0.49425,                0.45468,                 0.2426,                 1.6003,                 1.8457,                 1.9838,               0.006436,               0.006436,               0.006436
                     38,                 1.4805,                 1.7638,                 1.7177,                0.53937,                0.51145,                0.48931,                0.26433,                 1.6274,                 1.7913,                 1.9947,               0.006337,               0.006337,               0.006337
                     39,                 1.4451,                 1.7734,                 1.6484,                0.54109,                 0.4653,                0.40812,                0.21485,                 1.6235,                 1.9503,                 2.0293,               0.006238,               0.006238,               0.006238
                     40,                 1.4516,                  1.684,                 1.6739,                0.53993,                0.56322,                0.50644,                0.26904,                  1.574,                 1.8101,                 1.9776,               0.006139,               0.006139,               0.006139
                     41,                 1.4684,                 1.7746,                 1.7082,                0.51055,                0.50357,                0.44034,                0.23853,                 1.5519,                 1.8211,                 1.9908,                0.00604,                0.00604,                0.00604
                     42,                  1.404,                 1.7181,                 1.6746,                 0.5414,                0.52107,                0.50004,                0.27003,                 1.6071,                 1.7161,                 1.9641,               0.005941,               0.005941,               0.005941
                     43,                 1.4393,                 1.7504,                   1.71,                 0.5718,                0.42465,                0.47063,                0.25624,                 1.5922,                 1.9259,                 2.0267,               0.005842,               0.005842,               0.005842
                     44,                 1.4252,                 1.6614,                 1.6373,                0.59507,                0.50575,                0.51375,                0.27941,                 1.5972,                 1.7346,                  1.977,               0.005743,               0.005743,               0.005743
                     45,                  1.492,                 1.7296,                 1.7678,                0.59915,                0.50192,                0.49466,                0.27836,                 1.6223,                  1.829,                 1.9993,               0.005644,               0.005644,               0.005644
                     46,                 1.4418,                 1.6318,                 1.7107,                0.44864,                0.51341,                0.45252,                0.24021,                 1.6163,                 1.8696,                  1.966,               0.005545,               0.005545,               0.005545
                     47,                 1.4455,                 1.6271,                 1.6746,                0.54452,                 0.5249,                0.49441,                0.26657,                 1.6591,                 1.7313,                  1.994,               0.005446,               0.005446,               0.005446
                     48,                  1.441,                 1.6596,                  1.716,                0.58748,                0.57854,                0.50067,                0.27333,                 1.5722,                 1.6789,                 1.9846,               0.005347,               0.005347,               0.005347
                     49,                 1.3733,                 1.7218,                 1.5999,                0.57356,                0.57854,                0.53086,                 0.2966,                 1.5733,                 1.5772,                 2.0137,               0.005248,               0.005248,               0.005248
                     50,                 1.3571,                 1.6957,                 1.6074,                0.55891,                0.49425,                0.47981,                0.25879,                 1.7474,                 1.7394,                 2.0782,               0.005149,               0.005149,               0.005149
                     51,                 1.3753,                 1.5458,                 1.6159,                0.63307,                0.50575,                0.52689,                0.28728,                 1.6701,                 1.6915,                 2.0335,                0.00505,                0.00505,                0.00505
                     52,                 1.3246,                 1.5157,                  1.594,                0.63602,                0.56322,                0.56461,                0.30275,                 1.6177,                 1.6455,                 1.9832,               0.004951,               0.004951,               0.004951
                     53,                 1.3696,                 1.5657,                 1.6198,                0.54942,                0.59004,                0.56007,                 0.3115,                 1.6079,                 1.6347,                 1.9996,               0.004852,               0.004852,               0.004852
                     54,                 1.3845,                  1.588,                 1.6339,                 0.5923,                0.51724,                0.51732,                0.28311,                 1.5481,                 1.6868,                 1.9451,               0.004753,               0.004753,               0.004753
                     55,                 1.3146,                 1.5611,                  1.579,                0.66727,                0.55172,                0.59343,                0.33488,                 1.5734,                 1.6321,                 1.9729,               0.004654,               0.004654,               0.004654
                     56,                  1.323,                 1.5105,                 1.5914,                 0.5743,                0.60475,                0.54468,                0.30592,                 1.5782,                   1.63,                 1.9472,               0.004555,               0.004555,               0.004555
                     57,                 1.3489,                 1.4984,                 1.5889,                0.58396,                0.53257,                0.49734,                0.26647,                 1.6001,                 1.6381,                 1.9028,               0.004456,               0.004456,               0.004456
                     58,                 1.3545,                 1.5524,                  1.599,                0.59493,                0.59004,                0.56339,                0.32144,                 1.5853,                  1.586,                 1.9154,               0.004357,               0.004357,               0.004357
                     59,                 1.2972,                 1.4645,                 1.5536,                0.63343,                0.54952,                0.57207,                0.31162,                 1.5894,                 1.5686,                 1.9339,               0.004258,               0.004258,               0.004258
                     60,                 1.3406,                   1.43,                   1.55,                0.54562,                 0.5843,                0.56334,                0.31449,                 1.5778,                 1.5357,                 1.9342,               0.004159,               0.004159,               0.004159
                     61,                 1.3354,                 1.4972,                 1.5768,                0.64845,                0.52874,                0.53035,                0.28702,                 1.6395,                 1.6097,                 1.9542,                0.00406,                0.00406,                0.00406
                     62,                 1.3319,                  1.448,                 1.5678,                0.55553,                0.56705,                0.51028,                0.27408,                 1.6348,                 1.5891,                  1.962,               0.003961,               0.003961,               0.003961
                     63,                 1.2744,                 1.4414,                 1.5387,                0.63469,                0.59244,                0.58142,                0.32422,                 1.5827,                 1.5497,                 1.9795,               0.003862,               0.003862,               0.003862
                     64,                 1.2748,                 1.4302,                 1.5221,                0.59659,                0.58361,                0.57349,                0.34272,                 1.5061,                 1.5219,                  1.957,               0.003763,               0.003763,               0.003763
                     65,                 1.2693,                 1.4176,                 1.5148,                0.63678,                0.61303,                 0.5916,                0.32547,                  1.564,                 1.5111,                 1.9482,               0.003664,               0.003664,               0.003664
                     66,                 1.2891,                 1.5016,                 1.5242,                0.64492,                0.57064,                0.58115,                0.32001,                 1.5951,                 1.5305,                 1.9377,               0.003565,               0.003565,               0.003565
                     67,                 1.2391,                 1.3671,                 1.5151,                0.60495,                0.62069,                0.58856,                0.34067,                 1.5725,                 1.4988,                 1.9381,               0.003466,               0.003466,               0.003466
                     68,                 1.2641,                 1.3799,                  1.523,                0.62536,                 0.6092,                0.58658,                0.34339,                 1.5655,                 1.4772,                  1.928,               0.003367,               0.003367,               0.003367
                     69,                 1.2515,                  1.401,                 1.5219,                0.61746,                0.63602,                0.58691,                0.34273,                 1.5227,                 1.5138,                 1.8947,               0.003268,               0.003268,               0.003268
                     70,                 1.2925,                  1.426,                 1.5632,                0.63562,                0.58814,                0.56738,                0.33361,                 1.6213,                 1.5478,                  1.988,               0.003169,               0.003169,               0.003169
                     71,                 1.2244,                 1.3459,                 1.5099,                0.62297,                0.58621,                0.57838,                0.33354,                 1.5507,                 1.5429,                 1.9084,                0.00307,                0.00307,                0.00307
                     72,                 1.2386,                 1.3231,                 1.5412,                0.62018,                0.59433,                0.60125,                0.34851,                 1.5472,                 1.4941,                  1.898,               0.002971,               0.002971,               0.002971
                     73,                 1.2404,                 1.3119,                  1.502,                0.60159,                0.59589,                0.60206,                0.34103,                 1.5492,                  1.513,                 1.8946,               0.002872,               0.002872,               0.002872
                     74,                  1.199,                 1.2967,                  1.485,                0.62406,                0.57471,                0.58275,                0.32732,                 1.5993,                 1.4759,                 1.9205,               0.002773,               0.002773,               0.002773
